a, b, c, d, e
12111, 107, 111, 1, 87890
12112, 144, 112, 2, 87889
12113, 181, 113, 3, 87888
12114, 218, 114, 4, 87887
12115, 255, 115, 5, 87886
12116, 292, 116, 6, 87885
12117, 329, 117, 7, 87884
12118, 366, 118, 8, 87883
12119, 403, 119, 9, 87882
12120, 440, 120, 0, 87881
12121, 477, 121, 1, 87880
12122, 514, 122, 2, 87879
12123, 551, 123, 3, 87878
12124, 588, 124, 4, 87877
12125, 625, 125, 5, 87876
12126, 662, 126, 6, 87875
12127, 699, 127, 7, 87874
12128, 736, 128, 8, 87873
12129, 773, 129, 9, 87872
12130, 810, 130, 0, 87871
12131, 847, 131, 1, 87870
12132, 884, 132, 2, 87869
12133, 921, 133, 3, 87868
12134, 958, 134, 4, 87867
12135, 995, 135, 5, 87866
12136, 32, 136, 6, 87865
12137, 69, 137, 7, 87864
12138, 106, 138, 8, 87863
12139, 143, 139, 9, 87862
12140, 180, 140, 0, 87861
12141, 217, 141, 1, 87860
12142, 254, 142, 2, 87859
12143, 291, 143, 3, 87858
12144, 328, 144, 4, 87857
12145, 365, 145, 5, 87856
12146, 402, 146, 6, 87855
12147, 439, 147, 7, 87854
12148, 476, 148, 8, 87853
12149, 513, 149, 9, 87852
12150, 550, 150, 0, 87851
12151, 587, 151, 1, 87850
12152, 624, 152, 2, 87849
12153, 661, 153, 3, 87848
12154, 698, 154, 4, 87847
12155, 735, 155, 5, 87846
12156, 772, 156, 6, 87845
12157, 809, 157, 7, 87844
12158, 846, 158, 8, 87843
12159, 883, 159, 9, 87842
12160, 920, 160, 0, 87841
12161, 957, 161, 1, 87840
12162, 994, 162, 2, 87839
12163, 31, 163, 3, 87838
12164, 68, 164, 4, 87837
12165, 105, 165, 5, 87836
12166, 142, 166, 6, 87835
12167, 179, 167, 7, 87834
12168, 216, 168, 8, 87833
12169, 253, 169, 9, 87832
12170, 290, 170, 0, 87831
12171, 327, 171, 1, 87830
12172, 364, 172, 2, 87829
12173, 401, 173, 3, 87828
12174, 438, 174, 4, 87827
12175, 475, 175, 5, 87826
12176, 512, 176, 6, 87825
12177, 549, 177, 7, 87824
12178, 586, 178, 8, 87823
12179, 623, 179, 9, 87822
12180, 660, 180, 0, 87821
12181, 697, 181, 1, 87820
12182, 734, 182, 2, 87819
12183, 771, 183, 3, 87818
12184, 808, 184, 4, 87817
12185, 845, 185, 5, 87816
12186, 882, 186, 6, 87815
12187, 919, 187, 7, 87814
12188, 956, 188, 8, 87813
12189, 993, 189, 9, 87812
12190, 30, 190, 0, 87811
12191, 67, 191, 1, 87810
12192, 104, 192, 2, 87809
12193, 141, 193, 3, 87808
12194, 178, 194, 4, 87807
12195, 215, 195, 5, 87806
12196, 252, 196, 6, 87805
12197, 289, 197, 7, 87804
12198, 326, 198, 8, 87803
12199, 363, 199, 9, 87802
12200, 400, 200, 0, 87801
12201, 437, 201, 1, 87800
12202, 474, 202, 2, 87799
12203, 511, 203, 3, 87798
12204, 548, 204, 4, 87797
12205, 585, 205, 5, 87796
12206, 622, 206, 6, 87795
12207, 659, 207, 7, 87794
12208, 696, 208, 8, 87793
12209, 733, 209, 9, 87792
12210, 770, 210, 0, 87791
12211, 807, 211, 1, 87790
12212, 844, 212, 2, 87789
12213, 881, 213, 3, 87788
12214, 918, 214, 4, 87787
12215, 955, 215, 5, 87786
12216, 992, 216, 6, 87785
12217, 29, 217, 7, 87784
12218, 66, 218, 8, 87783
12219, 103, 219, 9, 87782
12220, 140, 220, 0, 87781
12221, 177, 221, 1, 87780
12222, 214, 222, 2, 87779
12223, 251, 223, 3, 87778
12224, 288, 224, 4, 87777
12225, 325, 225, 5, 87776
12226, 362, 226, 6, 87775
12227, 399, 227, 7, 87774
12228, 436, 228, 8, 87773
12229, 473, 229, 9, 87772
12230, 510, 230, 0, 87771
12231, 547, 231, 1, 87770
12232, 584, 232, 2, 87769
12233, 621, 233, 3, 87768
12234, 658, 234, 4, 87767
12235, 695, 235, 5, 87766
12236, 732, 236, 6, 87765
12237, 769, 237, 7, 87764
12238, 806, 238, 8, 87763
12239, 843, 239, 9, 87762
12240, 880, 240, 0, 87761
12241, 917, 241, 1, 87760
12242, 954, 242, 2, 87759
12243, 991, 243, 3, 87758
12244, 28, 244, 4, 87757
12245, 65, 245, 5, 87756
12246, 102, 246, 6, 87755
12247, 139, 247, 7, 87754
12248, 176, 248, 8, 87753
12249, 213, 249, 9, 87752
12250, 250, 250, 0, 87751
12251, 287, 251, 1, 87750
12252, 324, 252, 2, 87749
12253, 361, 253, 3, 87748
12254, 398, 254, 4, 87747
12255, 435, 255, 5, 87746
12256, 472, 256, 6, 87745
12257, 509, 257, 7, 87744
12258, 546, 258, 8, 87743
12259, 583, 259, 9, 87742
12260, 620, 260, 0, 87741
12261, 657, 261, 1, 87740
12262, 694, 262, 2, 87739
12263, 731, 263, 3, 87738
12264, 768, 264, 4, 87737
12265, 805, 265, 5, 87736
12266, 842, 266, 6, 87735
12267, 879, 267, 7, 87734
12268, 916, 268, 8, 87733
12269, 953, 269, 9, 87732
12270, 990, 270, 0, 87731
12271, 27, 271, 1, 87730
12272, 64, 272, 2, 87729
12273, 101, 273, 3, 87728
12274, 138, 274, 4, 87727
12275, 175, 275, 5, 87726
12276, 212, 276, 6, 87725
12277, 249, 277, 7, 87724
12278, 286, 278, 8, 87723
12279, 323, 279, 9, 87722
12280, 360, 280, 0, 87721
12281, 397, 281, 1, 87720
12282, 434, 282, 2, 87719
12283, 471, 283, 3, 87718
12284, 508, 284, 4, 87717
12285, 545, 285, 5, 87716
12286, 582, 286, 6, 87715
12287, 619, 287, 7, 87714
12288, 656, 288, 8, 87713
12289, 693, 289, 9, 87712
12290, 730, 290, 0, 87711
12291, 767, 291, 1, 87710
12292, 804, 292, 2, 87709
12293, 841, 293, 3, 87708
12294, 878, 294, 4, 87707
12295, 915, 295, 5, 87706
12296, 952, 296, 6, 87705
12297, 989, 297, 7, 87704
12298, 26, 298, 8, 87703
12299, 63, 299, 9, 87702
12300, 100, 300, 0, 87701
12301, 137, 301, 1, 87700
12302, 174, 302, 2, 87699
12303, 211, 303, 3, 87698
12304, 248, 304, 4, 87697
12305, 285, 305, 5, 87696
12306, 322, 306, 6, 87695
12307, 359, 307, 7, 87694
12308, 396, 308, 8, 87693
12309, 433, 309, 9, 87692
12310, 470, 310, 0, 87691
12311, 507, 311, 1, 87690
12312, 544, 312, 2, 87689
12313, 581, 313, 3, 87688
12314, 618, 314, 4, 87687
12315, 655, 315, 5, 87686
12316, 692, 316, 6, 87685
12317, 729, 317, 7, 87684
12318, 766, 318, 8, 87683
12319, 803, 319, 9, 87682
12320, 840, 320, 0, 87681
12321, 877, 321, 1, 87680
12322, 914, 322, 2, 87679
12323, 951, 323, 3, 87678
12324, 988, 324, 4, 87677
12325, 25, 325, 5, 87676
12326, 62, 326, 6, 87675
12327, 99, 327, 7, 87674
12328, 136, 328, 8, 87673
12329, 173, 329, 9, 87672
12330, 210, 330, 0, 87671
12331, 247, 331, 1, 87670
12332, 284, 332, 2, 87669
12333, 321, 333, 3, 87668
12334, 358, 334, 4, 87667
12335, 395, 335, 5, 87666
12336, 432, 336, 6, 87665
12337, 469, 337, 7, 87664
12338, 506, 338, 8, 87663
12339, 543, 339, 9, 87662
12340, 580, 340, 0, 87661
12341, 617, 341, 1, 87660
12342, 654, 342, 2, 87659
12343, 691, 343, 3, 87658
12344, 728, 344, 4, 87657
12345, 765, 345, 5, 87656
12346, 802, 346, 6, 87655
12347, 839, 347, 7, 87654
12348, 876, 348, 8, 87653
12349, 913, 349, 9, 87652
12350, 950, 350, 0, 87651
12351, 987, 351, 1, 87650
12352, 24, 352, 2, 87649
12353, 61, 353, 3, 87648
12354, 98, 354, 4, 87647
12355, 135, 355, 5, 87646
12356, 172, 356, 6, 87645
12357, 209, 357, 7, 87644
12358, 246, 358, 8, 87643
12359, 283, 359, 9, 87642
12360, 320, 360, 0, 87641
12361, 357, 361, 1, 87640
12362, 394, 362, 2, 87639
12363, 431, 363, 3, 87638
12364, 468, 364, 4, 87637
12365, 505, 365, 5, 87636
12366, 542, 366, 6, 87635
12367, 579, 367, 7, 87634
12368, 616, 368, 8, 87633
12369, 653, 369, 9, 87632
12370, 690, 370, 0, 87631
12371, 727, 371, 1, 87630
12372, 764, 372, 2, 87629
12373, 801, 373, 3, 87628
12374, 838, 374, 4, 87627
12375, 875, 375, 5, 87626
12376, 912, 376, 6, 87625
12377, 949, 377, 7, 87624
12378, 986, 378, 8, 87623
12379, 23, 379, 9, 87622
12380, 60, 380, 0, 87621
12381, 97, 381, 1, 87620
12382, 134, 382, 2, 87619
12383, 171, 383, 3, 87618
12384, 208, 384, 4, 87617
12385, 245, 385, 5, 87616
12386, 282, 386, 6, 87615
12387, 319, 387, 7, 87614
12388, 356, 388, 8, 87613
12389, 393, 389, 9, 87612
12390, 430, 390, 0, 87611
12391, 467, 391, 1, 87610
12392, 504, 392, 2, 87609
12393, 541, 393, 3, 87608
12394, 578, 394, 4, 87607
12395, 615, 395, 5, 87606
12396, 652, 396, 6, 87605
12397, 689, 397, 7, 87604
12398, 726, 398, 8, 87603
12399, 763, 399, 9, 87602
12400, 800, 400, 0, 87601
12401, 837, 401, 1, 87600
12402, 874, 402, 2, 87599
12403, 911, 403, 3, 87598
12404, 948, 404, 4, 87597
12405, 985, 405, 5, 87596
12406, 22, 406, 6, 87595
12407, 59, 407, 7, 87594
12408, 96, 408, 8, 87593
12409, 133, 409, 9, 87592
12410, 170, 410, 0, 87591
12411, 207, 411, 1, 87590
12412, 244, 412, 2, 87589
12413, 281, 413, 3, 87588
12414, 318, 414, 4, 87587
12415, 355, 415, 5, 87586
12416, 392, 416, 6, 87585
12417, 429, 417, 7, 87584
12418, 466, 418, 8, 87583
12419, 503, 419, 9, 87582
12420, 540, 420, 0, 87581
12421, 577, 421, 1, 87580
12422, 614, 422, 2, 87579
12423, 651, 423, 3, 87578
12424, 688, 424, 4, 87577
12425, 725, 425, 5, 87576
12426, 762, 426, 6, 87575
12427, 799, 427, 7, 87574
12428, 836, 428, 8, 87573
12429, 873, 429, 9, 87572
12430, 910, 430, 0, 87571
12431, 947, 431, 1, 87570
12432, 984, 432, 2, 87569
12433, 21, 433, 3, 87568
12434, 58, 434, 4, 87567
12435, 95, 435, 5, 87566
12436, 132, 436, 6, 87565
12437, 169, 437, 7, 87564
12438, 206, 438, 8, 87563
12439, 243, 439, 9, 87562
12440, 280, 440, 0, 87561
12441, 317, 441, 1, 87560
12442, 354, 442, 2, 87559
12443, 391, 443, 3, 87558
12444, 428, 444, 4, 87557
12445, 465, 445, 5, 87556
12446, 502, 446, 6, 87555
12447, 539, 447, 7, 87554
12448, 576, 448, 8, 87553
12449, 613, 449, 9, 87552
12450, 650, 450, 0, 87551
12451, 687, 451, 1, 87550
12452, 724, 452, 2, 87549
12453, 761, 453, 3, 87548
12454, 798, 454, 4, 87547
12455, 835, 455, 5, 87546
12456, 872, 456, 6, 87545
12457, 909, 457, 7, 87544
12458, 946, 458, 8, 87543
12459, 983, 459, 9, 87542
12460, 20, 460, 0, 87541
12461, 57, 461, 1, 87540
12462, 94, 462, 2, 87539
12463, 131, 463, 3, 87538
12464, 168, 464, 4, 87537
12465, 205, 465, 5, 87536
12466, 242, 466, 6, 87535
12467, 279, 467, 7, 87534
12468, 316, 468, 8, 87533
12469, 353, 469, 9, 87532
12470, 390, 470, 0, 87531
12471, 427, 471, 1, 87530
12472, 464, 472, 2, 87529
12473, 501, 473, 3, 87528
12474, 538, 474, 4, 87527
12475, 575, 475, 5, 87526
12476, 612, 476, 6, 87525
12477, 649, 477, 7, 87524
12478, 686, 478, 8, 87523
12479, 723, 479, 9, 87522
12480, 760, 480, 0, 87521
12481, 797, 481, 1, 87520
12482, 834, 482, 2, 87519
12483, 871, 483, 3, 87518
12484, 908, 484, 4, 87517
12485, 945, 485, 5, 87516
12486, 982, 486, 6, 87515
12487, 19, 487, 7, 87514
12488, 56, 488, 8, 87513
12489, 93, 489, 9, 87512
12490, 130, 490, 0, 87511
12491, 167, 491, 1, 87510
12492, 204, 492, 2, 87509
12493, 241, 493, 3, 87508
12494, 278, 494, 4, 87507
12495, 315, 495, 5, 87506
12496, 352, 496, 6, 87505
12497, 389, 497, 7, 87504
12498, 426, 498, 8, 87503
12499, 463, 499, 9, 87502
12500, 500, 0, 0, 87501
12501, 537, 1, 1, 87500
12502, 574, 2, 2, 87499
12503, 611, 3, 3, 87498
12504, 648, 4, 4, 87497
12505, 685, 5, 5, 87496
12506, 722, 6, 6, 87495
12507, 759, 7, 7, 87494
12508, 796, 8, 8, 87493
12509, 833, 9, 9, 87492
12510, 870, 10, 0, 87491
12511, 907, 11, 1, 87490
12512, 944, 12, 2, 87489
12513, 981, 13, 3, 87488
12514, 18, 14, 4, 87487
12515, 55, 15, 5, 87486
12516, 92, 16, 6, 87485
12517, 129, 17, 7, 87484
12518, 166, 18, 8, 87483
12519, 203, 19, 9, 87482
12520, 240, 20, 0, 87481
12521, 277, 21, 1, 87480
12522, 314, 22, 2, 87479
12523, 351, 23, 3, 87478
12524, 388, 24, 4, 87477
12525, 425, 25, 5, 87476
12526, 462, 26, 6, 87475
12527, 499, 27, 7, 87474
12528, 536, 28, 8, 87473
12529, 573, 29, 9, 87472
12530, 610, 30, 0, 87471
12531, 647, 31, 1, 87470
12532, 684, 32, 2, 87469
12533, 721, 33, 3, 87468
12534, 758, 34, 4, 87467
12535, 795, 35, 5, 87466
12536, 832, 36, 6, 87465
12537, 869, 37, 7, 87464
12538, 906, 38, 8, 87463
12539, 943, 39, 9, 87462
12540, 980, 40, 0, 87461
12541, 17, 41, 1, 87460
12542, 54, 42, 2, 87459
12543, 91, 43, 3, 87458
12544, 128, 44, 4, 87457
12545, 165, 45, 5, 87456
12546, 202, 46, 6, 87455
12547, 239, 47, 7, 87454
12548, 276, 48, 8, 87453
12549, 313, 49, 9, 87452
12550, 350, 50, 0, 87451
12551, 387, 51, 1, 87450
12552, 424, 52, 2, 87449
12553, 461, 53, 3, 87448
12554, 498, 54, 4, 87447
12555, 535, 55, 5, 87446
12556, 572, 56, 6, 87445
12557, 609, 57, 7, 87444
12558, 646, 58, 8, 87443
12559, 683, 59, 9, 87442
12560, 720, 60, 0, 87441
12561, 757, 61, 1, 87440
12562, 794, 62, 2, 87439
12563, 831, 63, 3, 87438
12564, 868, 64, 4, 87437
12565, 905, 65, 5, 87436
12566, 942, 66, 6, 87435
12567, 979, 67, 7, 87434
12568, 16, 68, 8, 87433
12569, 53, 69, 9, 87432
12570, 90, 70, 0, 87431
12571, 127, 71, 1, 87430
12572, 164, 72, 2, 87429
12573, 201, 73, 3, 87428
12574, 238, 74, 4, 87427
12575, 275, 75, 5, 87426
12576, 312, 76, 6, 87425
12577, 349, 77, 7, 87424
12578, 386, 78, 8, 87423
12579, 423, 79, 9, 87422
12580, 460, 80, 0, 87421
12581, 497, 81, 1, 87420
12582, 534, 82, 2, 87419
12583, 571, 83, 3, 87418
12584, 608, 84, 4, 87417
12585, 645, 85, 5, 87416
12586, 682, 86, 6, 87415
12587, 719, 87, 7, 87414
12588, 756, 88, 8, 87413
12589, 793, 89, 9, 87412
12590, 830, 90, 0, 87411
12591, 867, 91, 1, 87410
12592, 904, 92, 2, 87409
12593, 941, 93, 3, 87408
12594, 978, 94, 4, 87407
12595, 15, 95, 5, 87406
12596, 52, 96, 6, 87405
12597, 89, 97, 7, 87404
12598, 126, 98, 8, 87403
12599, 163, 99, 9, 87402
12600, 200, 100, 0, 87401
12601, 237, 101, 1, 87400
12602, 274, 102, 2, 87399
12603, 311, 103, 3, 87398
12604, 348, 104, 4, 87397
12605, 385, 105, 5, 87396
12606, 422, 106, 6, 87395
12607, 459, 107, 7, 87394
12608, 496, 108, 8, 87393
12609, 533, 109, 9, 87392
12610, 570, 110, 0, 87391
12611, 607, 111, 1, 87390
12612, 644, 112, 2, 87389
12613, 681, 113, 3, 87388
12614, 718, 114, 4, 87387
12615, 755, 115, 5, 87386
12616, 792, 116, 6, 87385
12617, 829, 117, 7, 87384
12618, 866, 118, 8, 87383
12619, 903, 119, 9, 87382
12620, 940, 120, 0, 87381
12621, 977, 121, 1, 87380
12622, 14, 122, 2, 87379
12623, 51, 123, 3, 87378
12624, 88, 124, 4, 87377
12625, 125, 125, 5, 87376
12626, 162, 126, 6, 87375
12627, 199, 127, 7, 87374
12628, 236, 128, 8, 87373
12629, 273, 129, 9, 87372
12630, 310, 130, 0, 87371
12631, 347, 131, 1, 87370
12632, 384, 132, 2, 87369
12633, 421, 133, 3, 87368
12634, 458, 134, 4, 87367
12635, 495, 135, 5, 87366
12636, 532, 136, 6, 87365
12637, 569, 137, 7, 87364
12638, 606, 138, 8, 87363
12639, 643, 139, 9, 87362
12640, 680, 140, 0, 87361
12641, 717, 141, 1, 87360
12642, 754, 142, 2, 87359
12643, 791, 143, 3, 87358
12644, 828, 144, 4, 87357
12645, 865, 145, 5, 87356
12646, 902, 146, 6, 87355
12647, 939, 147, 7, 87354
12648, 976, 148, 8, 87353
12649, 13, 149, 9, 87352
12650, 50, 150, 0, 87351
12651, 87, 151, 1, 87350
12652, 124, 152, 2, 87349
12653, 161, 153, 3, 87348
12654, 198, 154, 4, 87347
12655, 235, 155, 5, 87346
12656, 272, 156, 6, 87345
12657, 309, 157, 7, 87344
12658, 346, 158, 8, 87343
12659, 383, 159, 9, 87342
12660, 420, 160, 0, 87341
12661, 457, 161, 1, 87340
12662, 494, 162, 2, 87339
12663, 531, 163, 3, 87338
12664, 568, 164, 4, 87337
12665, 605, 165, 5, 87336
12666, 642, 166, 6, 87335
12667, 679, 167, 7, 87334
12668, 716, 168, 8, 87333
12669, 753, 169, 9, 87332
12670, 790, 170, 0, 87331
12671, 827, 171, 1, 87330
12672, 864, 172, 2, 87329
12673, 901, 173, 3, 87328
12674, 938, 174, 4, 87327
12675, 975, 175, 5, 87326
12676, 12, 176, 6, 87325
12677, 49, 177, 7, 87324
12678, 86, 178, 8, 87323
12679, 123, 179, 9, 87322
12680, 160, 180, 0, 87321
12681, 197, 181, 1, 87320
12682, 234, 182, 2, 87319
12683, 271, 183, 3, 87318
12684, 308, 184, 4, 87317
12685, 345, 185, 5, 87316
12686, 382, 186, 6, 87315
12687, 419, 187, 7, 87314
12688, 456, 188, 8, 87313
12689, 493, 189, 9, 87312
12690, 530, 190, 0, 87311
12691, 567, 191, 1, 87310
12692, 604, 192, 2, 87309
12693, 641, 193, 3, 87308
12694, 678, 194, 4, 87307
12695, 715, 195, 5, 87306
12696, 752, 196, 6, 87305
12697, 789, 197, 7, 87304
12698, 826, 198, 8, 87303
12699, 863, 199, 9, 87302
12700, 900, 200, 0, 87301
12701, 937, 201, 1, 87300
12702, 974, 202, 2, 87299
12703, 11, 203, 3, 87298
12704, 48, 204, 4, 87297
12705, 85, 205, 5, 87296
12706, 122, 206, 6, 87295
12707, 159, 207, 7, 87294
12708, 196, 208, 8, 87293
12709, 233, 209, 9, 87292
12710, 270, 210, 0, 87291
12711, 307, 211, 1, 87290
12712, 344, 212, 2, 87289
12713, 381, 213, 3, 87288
12714, 418, 214, 4, 87287
12715, 455, 215, 5, 87286
12716, 492, 216, 6, 87285
12717, 529, 217, 7, 87284
12718, 566, 218, 8, 87283
12719, 603, 219, 9, 87282
12720, 640, 220, 0, 87281
12721, 677, 221, 1, 87280
12722, 714, 222, 2, 87279
12723, 751, 223, 3, 87278
12724, 788, 224, 4, 87277
12725, 825, 225, 5, 87276
12726, 862, 226, 6, 87275
12727, 899, 227, 7, 87274
12728, 936, 228, 8, 87273
12729, 973, 229, 9, 87272
12730, 10, 230, 0, 87271
12731, 47, 231, 1, 87270
12732, 84, 232, 2, 87269
12733, 121, 233, 3, 87268
12734, 158, 234, 4, 87267
12735, 195, 235, 5, 87266
12736, 232, 236, 6, 87265
12737, 269, 237, 7, 87264
12738, 306, 238, 8, 87263
12739, 343, 239, 9, 87262
12740, 380, 240, 0, 87261
12741, 417, 241, 1, 87260
12742, 454, 242, 2, 87259
12743, 491, 243, 3, 87258
12744, 528, 244, 4, 87257
12745, 565, 245, 5, 87256
12746, 602, 246, 6, 87255
12747, 639, 247, 7, 87254
12748, 676, 248, 8, 87253
12749, 713, 249, 9, 87252
12750, 750, 250, 0, 87251
12751, 787, 251, 1, 87250
12752, 824, 252, 2, 87249
12753, 861, 253, 3, 87248
12754, 898, 254, 4, 87247
12755, 935, 255, 5, 87246
12756, 972, 256, 6, 87245
12757, 9, 257, 7, 87244
12758, 46, 258, 8, 87243
12759, 83, 259, 9, 87242
12760, 120, 260, 0, 87241
12761, 157, 261, 1, 87240
12762, 194, 262, 2, 87239
12763, 231, 263, 3, 87238
12764, 268, 264, 4, 87237
12765, 305, 265, 5, 87236
12766, 342, 266, 6, 87235
12767, 379, 267, 7, 87234
12768, 416, 268, 8, 87233
12769, 453, 269, 9, 87232
12770, 490, 270, 0, 87231
12771, 527, 271, 1, 87230
12772, 564, 272, 2, 87229
12773, 601, 273, 3, 87228
12774, 638, 274, 4, 87227
12775, 675, 275, 5, 87226
12776, 712, 276, 6, 87225
12777, 749, 277, 7, 87224
12778, 786, 278, 8, 87223
12779, 823, 279, 9, 87222
12780, 860, 280, 0, 87221
12781, 897, 281, 1, 87220
12782, 934, 282, 2, 87219
12783, 971, 283, 3, 87218
12784, 8, 284, 4, 87217
12785, 45, 285, 5, 87216
12786, 82, 286, 6, 87215
12787, 119, 287, 7, 87214
12788, 156, 288, 8, 87213
12789, 193, 289, 9, 87212
12790, 230, 290, 0, 87211
12791, 267, 291, 1, 87210
12792, 304, 292, 2, 87209
12793, 341, 293, 3, 87208
12794, 378, 294, 4, 87207
12795, 415, 295, 5, 87206
12796, 452, 296, 6, 87205
12797, 489, 297, 7, 87204
12798, 526, 298, 8, 87203
12799, 563, 299, 9, 87202
12800, 600, 300, 0, 87201
12801, 637, 301, 1, 87200
12802, 674, 302, 2, 87199
12803, 711, 303, 3, 87198
12804, 748, 304, 4, 87197
12805, 785, 305, 5, 87196
12806, 822, 306, 6, 87195
12807, 859, 307, 7, 87194
12808, 896, 308, 8, 87193
12809, 933, 309, 9, 87192
12810, 970, 310, 0, 87191
12811, 7, 311, 1, 87190
12812, 44, 312, 2, 87189
12813, 81, 313, 3, 87188
12814, 118, 314, 4, 87187
12815, 155, 315, 5, 87186
12816, 192, 316, 6, 87185
12817, 229, 317, 7, 87184
12818, 266, 318, 8, 87183
12819, 303, 319, 9, 87182
12820, 340, 320, 0, 87181
12821, 377, 321, 1, 87180
12822, 414, 322, 2, 87179
12823, 451, 323, 3, 87178
12824, 488, 324, 4, 87177
12825, 525, 325, 5, 87176
12826, 562, 326, 6, 87175
12827, 599, 327, 7, 87174
12828, 636, 328, 8, 87173
12829, 673, 329, 9, 87172
12830, 710, 330, 0, 87171
12831, 747, 331, 1, 87170
12832, 784, 332, 2, 87169
12833, 821, 333, 3, 87168
12834, 858, 334, 4, 87167
12835, 895, 335, 5, 87166
12836, 932, 336, 6, 87165
12837, 969, 337, 7, 87164
12838, 6, 338, 8, 87163
12839, 43, 339, 9, 87162
12840, 80, 340, 0, 87161
12841, 117, 341, 1, 87160
12842, 154, 342, 2, 87159
12843, 191, 343, 3, 87158
12844, 228, 344, 4, 87157
12845, 265, 345, 5, 87156
12846, 302, 346, 6, 87155
12847, 339, 347, 7, 87154
12848, 376, 348, 8, 87153
12849, 413, 349, 9, 87152
12850, 450, 350, 0, 87151
12851, 487, 351, 1, 87150
12852, 524, 352, 2, 87149
12853, 561, 353, 3, 87148
12854, 598, 354, 4, 87147
12855, 635, 355, 5, 87146
12856, 672, 356, 6, 87145
12857, 709, 357, 7, 87144
12858, 746, 358, 8, 87143
12859, 783, 359, 9, 87142
12860, 820, 360, 0, 87141
12861, 857, 361, 1, 87140
12862, 894, 362, 2, 87139
12863, 931, 363, 3, 87138
12864, 968, 364, 4, 87137
12865, 5, 365, 5, 87136
12866, 42, 366, 6, 87135
12867, 79, 367, 7, 87134
12868, 116, 368, 8, 87133
12869, 153, 369, 9, 87132
12870, 190, 370, 0, 87131
12871, 227, 371, 1, 87130
12872, 264, 372, 2, 87129
12873, 301, 373, 3, 87128
12874, 338, 374, 4, 87127
12875, 375, 375, 5, 87126
12876, 412, 376, 6, 87125
12877, 449, 377, 7, 87124
12878, 486, 378, 8, 87123
12879, 523, 379, 9, 87122
12880, 560, 380, 0, 87121
12881, 597, 381, 1, 87120
12882, 634, 382, 2, 87119
12883, 671, 383, 3, 87118
12884, 708, 384, 4, 87117
12885, 745, 385, 5, 87116
12886, 782, 386, 6, 87115
12887, 819, 387, 7, 87114
12888, 856, 388, 8, 87113
12889, 893, 389, 9, 87112
12890, 930, 390, 0, 87111
12891, 967, 391, 1, 87110
12892, 4, 392, 2, 87109
12893, 41, 393, 3, 87108
12894, 78, 394, 4, 87107
12895, 115, 395, 5, 87106
12896, 152, 396, 6, 87105
12897, 189, 397, 7, 87104
12898, 226, 398, 8, 87103
12899, 263, 399, 9, 87102
12900, 300, 400, 0, 87101
12901, 337, 401, 1, 87100
12902, 374, 402, 2, 87099
12903, 411, 403, 3, 87098
12904, 448, 404, 4, 87097
12905, 485, 405, 5, 87096
12906, 522, 406, 6, 87095
12907, 559, 407, 7, 87094
12908, 596, 408, 8, 87093
12909, 633, 409, 9, 87092
12910, 670, 410, 0, 87091
12911, 707, 411, 1, 87090
12912, 744, 412, 2, 87089
12913, 781, 413, 3, 87088
12914, 818, 414, 4, 87087
12915, 855, 415, 5, 87086
12916, 892, 416, 6, 87085
12917, 929, 417, 7, 87084
12918, 966, 418, 8, 87083
12919, 3, 419, 9, 87082
12920, 40, 420, 0, 87081
12921, 77, 421, 1, 87080
12922, 114, 422, 2, 87079
12923, 151, 423, 3, 87078
12924, 188, 424, 4, 87077
12925, 225, 425, 5, 87076
12926, 262, 426, 6, 87075
12927, 299, 427, 7, 87074
12928, 336, 428, 8, 87073
12929, 373, 429, 9, 87072
12930, 410, 430, 0, 87071
12931, 447, 431, 1, 87070
12932, 484, 432, 2, 87069
12933, 521, 433, 3, 87068
12934, 558, 434, 4, 87067
12935, 595, 435, 5, 87066
12936, 632, 436, 6, 87065
12937, 669, 437, 7, 87064
12938, 706, 438, 8, 87063
12939, 743, 439, 9, 87062
12940, 780, 440, 0, 87061
12941, 817, 441, 1, 87060
12942, 854, 442, 2, 87059
12943, 891, 443, 3, 87058
12944, 928, 444, 4, 87057
12945, 965, 445, 5, 87056
12946, 2, 446, 6, 87055
12947, 39, 447, 7, 87054
12948, 76, 448, 8, 87053
12949, 113, 449, 9, 87052
12950, 150, 450, 0, 87051
12951, 187, 451, 1, 87050
12952, 224, 452, 2, 87049
12953, 261, 453, 3, 87048
12954, 298, 454, 4, 87047
12955, 335, 455, 5, 87046
12956, 372, 456, 6, 87045
12957, 409, 457, 7, 87044
12958, 446, 458, 8, 87043
12959, 483, 459, 9, 87042
12960, 520, 460, 0, 87041
12961, 557, 461, 1, 87040
12962, 594, 462, 2, 87039
12963, 631, 463, 3, 87038
12964, 668, 464, 4, 87037
12965, 705, 465, 5, 87036
12966, 742, 466, 6, 87035
12967, 779, 467, 7, 87034
12968, 816, 468, 8, 87033
12969, 853, 469, 9, 87032
12970, 890, 470, 0, 87031
12971, 927, 471, 1, 87030
12972, 964, 472, 2, 87029
12973, 1, 473, 3, 87028
12974, 38, 474, 4, 87027
12975, 75, 475, 5, 87026
12976, 112, 476, 6, 87025
12977, 149, 477, 7, 87024
12978, 186, 478, 8, 87023
12979, 223, 479, 9, 87022
12980, 260, 480, 0, 87021
12981, 297, 481, 1, 87020
12982, 334, 482, 2, 87019
12983, 371, 483, 3, 87018
12984, 408, 484, 4, 87017
